METER NUMBER,BLOCK/LIMITS,STREET,SIDE,DISTRICT,MANUFACTURER,MODEL,RATE,FROM DAY,TO DAY,FROM TIME,TO TIME,LIMIT HR,LIMIT MIN,TIMER,STATUS,INSTALLED,MAINTENANCE ROUTE
CAL01,LOT,CALLOWHILL,N,80,METRIC,P&D,$8.00 ,SUN,SAT,0600A,1159P,24,,24HR,"I		",12/17/14,1-NEQ
SM27004,1700,JFK BLVD,S,34,POM,PBS,$0.75 ,MON,SAT,0800A,1000P,12,,12HR,"R		",7/1/09,1-NEQ
SM27031,101,N 11,E,40F,POM,PBS,$0.75 ,SUN,SAT,0800A,1000A,12,,24HR,"R		",10/29/10,1-NEQ
SM27032,101,N 11,E,40F,POM,PBS,$0.75 ,SUN,SAT,0800A,1000A,12,,24HR,"R		",10/29/10,1-NEQ
SM27040,1,N 11,E,40,POM,PBS,$0.75 ,SUN,SAT,0800A,1000A,12,,24HR,"R		",3/8/11,1-NEQ
SM27041,1301,ARCH,N,41C,POM,PBS,$0.75 ,SUN,SAT,0800A,1000P,12,,24HR,"R		",3/1/11,1-NEQ
SM27042,1301,ARCH,N,41C,POM,PBS,$0.75 ,SUN,SAT,0800A,1000P,12,,24HR,"I		",3/1/11,1-NEQ
SM27043,1301,ARCH,N,41C,POM,PBS,$0.75 ,SUN,SAT,0800A,1000P,12,,24HR,"R		",3/1/11,1-NEQ
12F002,200,N 13,W,12F,METRIC,P&D,$2.50 ,SUN,SAT,0800A,0400P,2,,24HR,"I		",12/14/09,1-NEQ
12F002,200,N 13,W,12F,METRIC,P&D,$2.50 ,SUN,SAT,0400P,1000P,3,,24HR,"I		",12/14/09,1-NEQ
12F003,200,N 13,W,12F,METRIC,P&D,$2.50 ,SUN,SAT,0800A,0400P,2,,24HR,"I		",12/14/09,1-NEQ
12F003,200,N 13,W,12F,METRIC,P&D,$2.50 ,SUN,SAT,0400P,1000P,3,,24HR,"I		",12/14/09,1-NEQ
12F006,200,N 12,W,12F,METRIC,P&D,$2.50 ,SUN,SAT,0800A,0400P,1,,24HR,"I		",12/14/09,1-NEQ
12F006,200,N 12,W,12F,METRIC,P&D,$2.50 ,SUN,SAT,0400P,1000P,3,,24HR,"I		",12/14/09,1-NEQ
12F007,200,N 12,W,12F,METRIC,P&D,$2.50 ,SUN,SAT,0800A,0400P,1,,24HR,"I		",12/14/09,1-NEQ
12F007,200,N 12,W,12F,METRIC,P&D,$2.50 ,SUN,SAT,0400P,1000P,3,,24HR,"I		",12/14/09,1-NEQ
12F008,1200,RACE,S,41C,METRIC,P&D,$2.50 ,SUN,SAT,0800A,0400P,2,,24HR,"I		",3/1/11,1-NEQ
12F008,1200,RACE,S,41C,METRIC,P&D,$2.50 ,SUN,SAT,0400P,1000P,3,,24HR,"I		",3/1/11,1-NEQ
12F010,1100,RACE,S,12F,METRIC,P&D,$2.50 ,SUN,SAT,0800A,0400P,2,,24HR,"I		",12/16/09,1-NEQ
12F010,1100,RACE,S,12F,METRIC,P&D,$2.50 ,SUN,SAT,0400P,1000P,3,,24HR,"I		",12/16/09,1-NEQ
12F011,1100,RACE,S,12F,METRIC,P&D,$2.50 ,SUN,SAT,0800A,0400P,2,,24HR,"I		",11/29/09,1-NEQ
12F011,1100,RACE,S,12F,METRIC,P&D,$2.50 ,SUN,SAT,0400P,1000P,3,,24HR,"I		",11/29/09,1-NEQ
12F012,201,N 11,E,12F,METRIC,P&D,$2.50 ,MON,SAT,0800A,0400P,2,,24HR,"I		",12/14/09,1-NEQ
12F012,201,N 11,E,12F,METRIC,P&D,$2.50 ,MON,SAT,0400P,1000P,3,,24HR,"I		",12/14/09,1-NEQ
12F014,1000,RACE,S,12F,METRIC,P&D,$2.50 ,SUN,SAT,0800A,0400P,2,,24HR,"I		",12/14/09,1-NEQ
