District Number,BLOCK,Side,Location
1,2500,B/S,"PINE ST
Philadelphia, PA
(39.954024340000046, -75.23027049599995)"
24,2000,B/S,"S 13TH ST
Philadelphia, PA
(39.94104720000007, -75.14417665499997)"
2,4200,S/S,"PINE ST
Philadelphia, PA
(39.954024340000046, -75.23027049599995)"
3,5700,W/S,"W OXFORD ST
Philadelphia, PA
(39.98004716200006, -75.24286322099994)"
16,3200,E/S,"CARLISLE ST
Philadelphia, PA
(39.921126783000034, -75.17155956999994)"
26,1100,W/S,"S CARLISLE ST
Philadelphia, PA
(39.921126783000034, -75.17155956999994)"
10,300,W/S,"N 13TH ST
Philadelphia, PA
(39.94104720000007, -75.14417665499997)"
1,800,B/S,"S 17TH ST
Philadelphia, PA
(39.94104770100006, -75.14417993899997)"
1,900,B/S,"S 18TH ST
Philadelphia, PA
(39.94099467900003, -75.14419301499998)"
3,5100,S/S,"STILES
Philadelphia, PA
(39.95228311600005, -75.16244564499993)"
4,500,W/S,"S 12TH ST
Philadelphia, PA
(39.940993965000075, -75.14418833599996)"
1,2100,S/S,"LOMBARD ST
Philadelphia, PA
(39.945855692000066, -75.17471648699996)"
23,900,S/S,"ANNIN
Philadelphia, PA
(39.93797291100003, -75.17836734899998)"
1,1600,S/S,"LOMBARD ST
Philadelphia, PA
(39.945855692000066, -75.17471648699996)"
1,400,E/S,"S 19TH ST
Philadelphia, PA
(39.941047952000076, -75.14418157999995)"
22,1000,,"PASSYUNK LOT
Philadelphia, PA
(39.95228311600005, -75.16244564499993)"
22,900,B/S,"S 06TH ST
Philadelphia, PA
(39.940993252000055, -75.14418365699999)"
24,2400,W/S,"CLARION ST
Philadelphia, PA
(39.921753668000065, -75.16867772899997)"
22,1100,B/S,"CARPENTERST
Philadelphia, PA
(39.95228311600005, -75.16244564499993)"
2,500,B/S,"WOODLAND TERR
Philadelphia, PA
(39.94931382900006, -75.20454860999996)"
16,1400,B/S,"W INDIANA AVE
Philadelphia, PA
(40.000046732000044, -75.16513739399994)"
10,1000,N/S,"BRANDYWINE ST
Philadelphia, PA
(39.96313143000003, -75.19467674199996)"
24,2500,W/S,"CAMAC ST
Philadelphia, PA
(39.91967214600004, -75.16753413099997)"
24,2600,E/S,"S ISEMINGER ST
Philadelphia, PA
(39.920069761000036, -75.16791500799997)"
3,99,W/S,"N MILLICK ST
Philadelphia, PA
(39.963686980000034, -75.24164706899995)"
1,2100,B/S,"CATHARINE ST
Philadelphia, PA
(39.94993241800006, -75.23514419199995)"
6,600,B/S,"N 21ST ST
Philadelphia, PA
(39.94104820200005, -75.14418322199998)"
1,500,B/S,"TANEY ST
Philadelphia, PA
(39.932536766000055, -75.18926170999998)"
27,2300,E/S,"S ROSEWOOD ST
Philadelphia, PA
(39.92198302500003, -75.17090786599994)"
1,1900,B/S,"FITZWATER ST
Philadelphia, PA
(39.94279682100006, -75.17392511999998)"
10,700,B/S,"N 03RD ST
Philadelphia, PA
(39.94104594800007, -75.14416844699997)"
10,1100,E/S,"N ORIANNA ST
Philadelphia, PA
(39.95394711100005, -75.14579329599997)"
24,2000,B/S,"S 10TH ST
Philadelphia, PA
(39.940993727000034, -75.14418677699996)"
22,799,E/S,"S JUNIPER ST
Philadelphia, PA
(39.91999075100006, -75.16950687199994)"
1,1400,N/S,"PINE ST
Philadelphia, PA
(39.954024340000046, -75.23027049599995)"
10,1100,B/S,"WALLACE ST
Philadelphia, PA
(39.963417477000064, -75.21789640799994)"
29,700,B/S,"MOLLBORE TERR
Philadelphia, PA
(39.915320708000024, -75.16640457699998)"
16,1500,B/S,"VENANGO ST
Philadelphia, PA
(40.00748852800007, -75.15032718699996)"
2,200,E/S,"S MELVILLE
Philadelphia, PA
(39.95418631100006, -75.21298538999997)"
8,3400,B/S,"WARDEN DR
Philadelphia, PA
(40.01686113300008, -75.19244519599994)"
2,5800,B/S,"LARCHWOOD ST
Philadelphia, PA
(39.952596130000074, -75.23149075299995)"
15,4300,E/S,"DEXTER
Philadelphia, PA
(40.02829963800008, -75.21848778999998)"
10,1100,B/S,"N 04TH ST
Philadelphia, PA
(39.94099301400007, -75.14418209799999)"
5,400,B/S,"S 04TH ST
Philadelphia, PA
(39.94099301400007, -75.14418209799999)"
24,1000,N/S,"WINTON ST
Philadelphia, PA
(39.92540986100005, -75.18452951299997)"
8,3500,W/S,"HENRY AVE
Philadelphia, PA
(40.038207913000065, -75.21104439399994)"
1,1800,B/S,"CARPENTER ST
Philadelphia, PA
(39.948669376000055, -75.24356855099995)"
8,3800,B/S,"STOKELY ST
Philadelphia, PA
(40.01387407100003, -75.17522386399997)"
10,900,S/S,"WINTER ST
Philadelphia, PA
(39.95988225000008, -75.18804832299998)"
16,1400,N/S,"W PACIFIC ST
Philadelphia, PA
(40.00938739700007, -75.15898697599994)"
1,2500,B/S,"CHRISTIAN ST
Philadelphia, PA
(39.94902714700004, -75.24032986499998)"
25,2200,B/S,"ALMOND
Philadelphia, PA
(39.97721698700008, -75.12192847999995)"
6,599,W/S,"N 15TH ST
Philadelphia, PA
(39.94104745100003, -75.14417829699994)"
5,400,N/S,"PINE ST
Philadelphia, PA
(39.954024340000046, -75.23027049599995)"
1,1900,S/S,"CARPENTER ST
Philadelphia, PA
(39.948669376000055, -75.24356855099995)"
25,1400,S/S,"E OXFORD ST
Philadelphia, PA
(39.971696002000044, -75.13204869399993)"
1,2300,N/S,"WAVERLY ST
Philadelphia, PA
(39.94621445000007, -75.17308650699994)"
2,4200,N/S,"REGENT SQ
Philadelphia, PA
(39.94753360500005, -75.20793413599995)"
10,300,B/S,"GREEN ST
Philadelphia, PA
(39.962202741000056, -75.20309387499998)"
