,avalability_id,start_day,end_day,start_time,end_time,limit
0,8d57be41-48c4-416f-8dca-f1dd46184706,SUN,SAT,0600A,1159P,24
1,93e0bfdb-b9ad-4a95-bed7-55af77b39dda,MON,SAT,0800A,1000P,12
2,132c60f7-3359-4850-bf96-569e852625bd,SUN,SAT,0800A,1000A,12
3,9d309d64-2959-4d0f-9cb3-c5e9265257a8,SUN,SAT,0800A,1000P,12
4,a4b71405-2a92-4067-a1b9-5000cfa71022,SUN,SAT,0800A,0400P,2
5,05f40c5d-e05e-48df-a3da-a175228e5871,SUN,SAT,0400P,1000P,3
6,4c2b8492-713c-4432-977d-c3ff3f1634f4,SUN,SAT,0800A,0400P,1
7,0a09dd41-b087-44a8-bba2-97e9fde0f122,MON,SAT,0800A,0400P,2
8,313e119b-cbde-4100-bf40-592be7c33757,MON,SAT,0400P,1000P,3
9,2e2bc51d-600c-48a2-a04f-3435da19487f,SUN,SAT,0700A,0700P,12
10,86d8df83-403e-4fcd-9b16-1fb149ab7b61,SUN,SAT,0800A,0800P,4
11,459b546c-f006-4513-a5f9-78eecf402511,MON,SAT,0800A,0630P,as
12,808d60d2-cee3-4962-858e-757c36d3d533,MON,SAT,0800A,0630P,3
13,cfaf721f-0b66-4930-9915-8ec4b85caa7e,MON,FRI,0930A,0400P,2
14,a83d652c-5d29-4a75-82c0-d472e7cf4c5e,SAT,SAT,0800A,0630P,1
15,ed722846-2fe4-4614-9dc8-ebb60f06ad89,MON,SAT,0800A,0800P,3
16,32f9de2b-8738-4708-b87f-07e4fdcdeddd,MON,SAT,0800A,0800P,1
17,4b3a8e60-c9af-4e8b-a692-ca2d4d122172,MON,SAT,0800A,0800P,2
18,f12c8cfb-5da9-4b3e-a738-be6d91ee758a,SAT,SAT,0800A,0630P,2
19,def0e0cc-ba5f-486c-9028-b17ed3976b42,SUN,SAT,0800A,0630P,3
20,3042f565-d296-4c99-aec6-923daf839be9,SAT,SAT,0800A,0800P,2
21,7987b78b-fdc3-458c-aac7-26984c3d52bf,MON,FRI,0630P,0900P,2
22,dce25196-b678-4123-82f0-f96d0c915256,MON,SAT,0930A,0400P,2
23,bb0b0dd5-3a55-4acf-949d-850abc5dc90e,MON,SAT,0800A,0600P,1
24,ea9a6859-5b97-44d7-8c71-15dfd9e72289,SAT,SAT,0800A,0800A,2
25,81c43198-d383-44ac-a0da-fad9ba29ea64,MON,SAT,0930A,0300P,2
26,3eb948cb-bd72-49c1-81de-b09f32db1a0b,MON,SAT,0630P,0900P,2
27,d5fbda08-9a91-42de-bed7-bab0146c0e95,MON,SAT,0930A,0800P,2
28,c329fbee-bc5a-49dc-8dc7-9d9aa9f705d3,SUN,SAT,0800A,1000P,2
29,dc4bf9c1-ad71-4557-a970-095c7ebb928f,SUN,SAT,0900A,1159P,4
30,032f66be-e1a5-4e49-98bb-01fab0e6a279,SUN,SAT,0700A,1159P,4
31,d94e3fdc-9aa9-4e00-9b68-55db7e05a7f3,SUN,SAT,1000A,1000P,4
32,dd443a22-512c-4894-9208-77c91f3b2983,SUN,SAT,0800A,1000P,4
33,1eb45742-7736-4224-81cb-f6563244e681,SUN,SAT,0800A,1000P,3
34,773662b0-61e0-4301-9401-1c405c687e48,SUN,SAT,0800A,0500P,3
35,48c9c5f7-d8d2-4fb7-9397-5c53c9ad75f0,MON,SAT,0800A,0630P,1
36,e0d4b317-362b-4dd2-b396-3ae392c2199b,MON,SAT,0800A,1000P,3
37,fa427a8b-baaf-44d5-bb31-f0b7b1c561cb,SUN,SAT,0800A,0800P,2
38,07c5d462-31d7-459b-bf4e-bc3500af793e,MON,SAT,0930A,0800P,1
39,17ebbee9-9ab6-48fe-9125-347f088773e3,SUN,SAT,0800A,1000P,1
40,0ab88063-077e-46d5-9ff8-ffe8df18f881,SUN,SUN,0800A,0800P,0.5
41,18014a8d-21eb-4047-bed3-9dd8445beb84,MON,FRI,1100A,0800P,0.5
42,83a26eda-d5b0-4a09-aa4c-0049e869d985,SAT,SAT,0800A,0800P,0.5
43,b5cbff6c-619f-4bc5-a834-f75eec564c5d,SUN,SAT,0800A,0800P,1
44,0dd0147c-2377-48a7-9f3f-b3cf6795c022,MON,SAT,0800A,0400P,1
45,7509e2db-75f3-4a44-b7f9-957ca12fd4fd,SUN,SUN,0800A,1000P,1
46,ed0c7cbb-969e-4105-99fc-dc458dac0d2e,MON,FRI,1100A,1000P,1
47,c8898ac0-fda0-4c5f-a85b-0750932415b0,SAT,SAT,0800A,1000P,1
48,584eff2a-3768-440c-8175-7a9770ad042d,SUN,SAT,0930A,0800P,3
49,fa1f6899-814c-4c9e-b5e1-7e214a1f9db9,SUN,MON,0800A,0400P,2
50,bbe7e267-b096-48f7-b3ea-94449c7552a0,MON,SAT,0800A,0630P,4
51,eea02792-6127-47f8-94cf-342b753434a7,SUN,SAT,0700A,1159P,2
52,3670af12-39ec-4c7a-b596-1bde3515a61e,MON,SAT,0800A,0600P,4
53,5ef93d86-b03f-472e-8f5e-75842b5c142c,SUN,SAT,0700A,1159P,12
54,e87e4793-7a84-4a48-8beb-54e09bd198bb,SUN,SUN,0700A,1159P,12
55,ed9d5908-7648-41bc-ad2a-026d03d792ce,SUN,SUN,0700A,1159P,2
56,4cadf6a1-b9b2-42f4-95ed-0ed578e178a2,SUN,SAT,0700A,1100P,12
57,ac89166f-6657-4129-96fd-88c61c4956b6,SUN,SUN,0800A,1000P,2
58,cb965328-a1f9-4248-add1-f2dfba6cd60e,SAT,SAT,0800A,1000P,2
59,50ccaa13-8096-4a2f-909b-a5ba2a28fe56,MON,FRI,0630P,1000P,2
60,c6ee53e6-e53c-4d9c-bedb-43ffcc50d762,MON,FRI,0930A,0800P,2
61,62c90d70-b2c4-4ba6-8360-14e640412ee9,MON,FRI,0930A,0400P,3
62,30bac83f-18ca-44f9-93f6-3150e265d46d,SAT,SAT,0800A,0900P,3
63,2b9059a6-9e13-4a18-afbb-8ce4afd6bc30,MON,FRI,0630P,0900P,3
64,aff112c1-f516-4b97-b129-adf6dca95114,MON,FRI,1000A,0900P,2
65,18424e81-6d05-4654-adfd-b373a14a85c3,SAT,SAT,0800A,0900P,2
66,1abd3f02-0d59-4d76-b206-2fea03b4f665,MON,FRI,0930A,0630P,2
67,e8efac74-36ec-43ee-913f-c92b097a7fc7,MON,SAT,0930A,0630P,2
68,e4014c98-0277-4746-8cc5-5661c6073c87,MON,FRI,0800A,0400P,2
69,0bdc695f-d668-4e37-ac01-b1dac9665a2c,SUN,SUN,0800A,0800P,2
70,c9462eb1-c2ab-47c8-952e-cef7cf7e11c0,SUN,SUN,0800A,0800A,2
71,dcaf25de-82fe-44ce-8290-94140748dcaa,MON,FRI,0630P,0800P,2
72,2bd5f7c7-2b96-4050-a74f-e6bf3bce9bc6,SAT,SAT,0800A,1000P,3
73,f38d54d6-4069-4df2-b927-2b55283e5cbe,MON,FRI,0400P,1000P,3
74,a2cde132-9a0a-4c44-954d-c9e313d5c1f9,MON,SAT,0900A,0800P,2
75,db9238b4-b219-4111-a825-6d5cca5039b4,MON,SAT,0900A,0400P,2
76,8b7a161f-17ef-47fe-bd18-3d3339a7aaef,SUN,SUN,0800A,1000P,3
77,c660807c-afbe-43e2-a8f5-89a0130f7f39,MON,FRI,0930A,1000P,3
78,27afca12-f7b8-4595-9d96-a7aff5f7a389,SUN,SAT,0800A,0800P,3
79,8cc83702-15b1-494c-96de-0616c36b2277,SUN,SAT,0800A,0600P,3
80,b280d17a-6332-4b1c-b1ba-c90e0f4607b1,MON,SAT,0930A,0800P,3
81,9983291b-25d2-497f-b35e-6e9f54abf675,MON,FRI,0930A,0400P,1
82,24dbd20e-d4e9-41f5-b368-e0af15da7f20,MON,SAT,0900A,0430P,1
83,d490a9d0-aec7-4e6e-8dac-3b8e0c34a5aa,MON,FRI,0800A,0630P,2
84,498cdf2f-87fb-47e1-8bf5-4347bc0516e5,SUN,SAT,0800A,0630P,2
85,a4e5f647-9404-4ead-a65d-6b0e78ebb805,MON,SAT,0800A,0800P,4
86,f9986670-7ff8-48f3-8eb6-3371db4bc3d5,MON,SAT,0800A,0630P,12
87,909ea1c6-41c0-45ef-ae17-c63e359dd306,MON,SAT,0800A,0800P,12
88,063e8728-18b0-467a-8abd-5acce8654a07,MON,SAT,0700A,0700P,12
89,19e8c045-dfc6-474a-a7f0-92d19fa77b54,SUN,SAT,0800A,0800P,12
90,6ff4ec75-0d7b-4ec7-a5c4-00efce8e42cb,SUN,SUN,0800A,0800P,3
91,ca950eff-a269-4fbb-9bc3-c90413e1242d,MON,FRI,0800A,0400P,3
92,bf4f4cb4-cf6c-41c9-bafe-639caf88eef0,SAT,SAT,0800A,0800P,3
93,b0b7b5e1-1297-4eb8-a2f2-bdacee65801e,MON,FRI,0630P,0800P,3
94,593cdb10-d163-4994-a14b-14a30b710a4f,SUN,SUN,0800A,0800P,4
95,f956eee4-0fe1-4c5f-8f05-831d0c38eb5e,MON,FRI,0930A,0800P,4
96,9cb4e9f5-d0fa-4ee1-8537-46403da3df00,SAT,SAT,0800A,0800P,4
97,a22fc355-cd28-43a1-986a-524a3b0e0564,SUN,SAT,0700A,0700P,3
98,8371106c-b713-4647-9468-dba6bfd2e0e2,MON,SAT,0800A,0600P,3
99,11c27e60-9468-4ced-9f35-3e0b3ce838d4,SUN,SAT,0700A,0800P,12
100,98b97e86-30be-40bc-853d-bee0f3ba214c,MON,SAT,0700A,0700P,3
101,92dc973e-a26b-40b6-8f70-9687f5947f51,MON,SAT,0700A,1100P,12
102,d7b656fc-83ed-490c-9fad-08ef5277baed,MON,SAT,0700A,1159P,12
103,e5a98d69-8b9e-4742-beff-c2b911044100,SUN,FRI,0800A,0400P,2
104,a037392f-9a76-4204-8e7b-6ea53d2ccc61,SUN,SUN,0800A,0630P,3
105,11d02c9b-f07b-4f0b-910a-468ce2afba03,SAT,SAT,0800A,0630P,3
106,766ea7d5-259b-47a6-97e6-7967e6b7fd02,SUN,SUN,0800A,0630P,2
107,4d89a1d5-785a-4ffe-a494-0676c594442b,SAT,SAT,1159A,1159P,24
108,9ac3a140-857f-4f66-b203-7ac8460b788d,SUN,SAT,0430A,1159P,24
109,c3d166b8-9e00-400f-9755-c88d98d73084,SUN,SAT,0900A,0400P,12
110,9f718707-a4d4-4c5c-b683-029222cb8295,SUN,SUN,0800A,1000P,12
111,41440a3c-0a97-4dd2-a15c-9340d42770b0,MON,SAT,0800A,1000P,2
112,e7f8a02b-892e-4d73-86b1-c9952199b063,MON,SAT,0930A,0400P,1
113,6e2ff9b9-5a8e-441d-84c5-7d7b25434264,SUN,SAT,0900A,1000P,2
114,84e1caa7-8f67-460d-a287-af24c6af8698,SUN,SAT,0900A,0400P,2
115,2410961d-97cc-4f47-9b35-df7569cb4d7e,MON,SAT,0900A,0900P,1
116,0c309add-7dca-4aae-9bc7-7f7fc2840b45,MON,SAT,0900A,0900P,2
117,10513afe-162c-4266-8904-ee81829bc06a,SUN,MON,0900A,1000P,2
118,2f9b852b-2643-460f-b07d-76e5ca855194,MON,SAT,0900A,1000P,2
119,de56855a-4d18-4cc5-8de8-02831044eae3,MON,SAT,0900A,0530P,2
